timestamp,city,temperature,description
2026-04-18T04:29:07.442Z,Edinburgh,8.53,broken clouds
2026-04-18T07:01:04.050Z,Edinburgh,8.69,broken clouds
2026-04-18T08:41:50.046Z,Edinburgh,10.12,broken clouds
2026-04-18T10:35:37.213Z,Edinburgh,10.76,scattered clouds
2026-04-18T12:51:57.835Z,Edinburgh,12.2,overcast clouds
2026-04-18T14:36:42.320Z,Edinburgh,12.84,overcast clouds
2026-04-18T16:33:46.596Z,Edinburgh,11.88,few clouds
2026-04-18T18:39:59.538Z,Edinburgh,9.55,clear sky
2026-04-18T20:30:15.889Z,Edinburgh,8.14,few clouds
2026-04-18T22:28:36.549Z,Edinburgh,6.18,clear sky
2026-04-19T02:08:09.738Z,Edinburgh,4.24,clear sky
2026-04-19T05:54:56.345Z,Edinburgh,4.16,clear sky
2026-04-19T07:11:55.083Z,Edinburgh,6.41,clear sky
2026-04-19T08:47:08.780Z,Edinburgh,9.66,clear sky
2026-04-19T10:34:25.730Z,Edinburgh,10.76,few clouds
2026-04-19T12:51:27.889Z,Edinburgh,12.11,few clouds
2026-04-19T14:37:33.390Z,Edinburgh,12.96,light rain
2026-04-19T16:34:04.478Z,Edinburgh,12.13,overcast clouds
2026-04-19T18:40:33.208Z,Edinburgh,10.96,few clouds
2026-04-19T20:31:31.048Z,Edinburgh,7.93,scattered clouds
2026-04-19T22:29:42.286Z,Edinburgh,8.16,clear sky
2026-04-20T02:08:48.437Z,Edinburgh,4.95,broken clouds
2026-04-20T06:11:27.160Z,Edinburgh,5.06,broken clouds
2026-04-20T09:54:31.090Z,Edinburgh,9.98,few clouds
2026-04-20T11:16:14.465Z,Edinburgh,11.63,few clouds
2026-04-20T13:19:35.687Z,Edinburgh,11.71,overcast clouds
2026-04-20T15:13:38.363Z,Edinburgh,10.56,few clouds
2026-04-20T16:59:43.940Z,Edinburgh,9.85,overcast clouds
2026-04-20T18:57:39.983Z,Edinburgh,8.52,scattered clouds
2026-04-20T20:40:42.903Z,Edinburgh,7.67,scattered clouds
2026-04-20T22:38:25.318Z,Edinburgh,6.15,scattered clouds
2026-04-21T02:05:04.266Z,Edinburgh,6.58,overcast clouds
2026-04-21T05:59:24.477Z,Edinburgh,5.88,broken clouds
2026-04-21T08:02:54.153Z,Edinburgh,7.86,overcast clouds
2026-04-21T11:01:44.569Z,Edinburgh,8.41,scattered clouds
2026-04-21T13:13:34.921Z,Edinburgh,11.33,clear sky
2026-04-21T15:08:04.191Z,Edinburgh,11.29,clear sky
2026-04-21T16:54:30.569Z,Edinburgh,9.88,clear sky
2026-04-21T19:04:35.655Z,Edinburgh,6.94,scattered clouds
2026-04-21T20:44:18.192Z,Edinburgh,6.43,clear sky
2026-04-21T22:34:28.919Z,Edinburgh,6.1,overcast clouds
2026-04-22T02:03:22.473Z,Edinburgh,5.6,scattered clouds
2026-04-22T05:57:05.625Z,Edinburgh,5.6,broken clouds
2026-04-22T07:48:04.719Z,Edinburgh,7.11,overcast clouds
2026-04-22T09:14:41.688Z,Edinburgh,7.99,broken clouds
2026-04-22T10:59:53.114Z,Edinburgh,9.16,scattered clouds
2026-04-22T13:15:43.664Z,Edinburgh,10.97,few clouds
2026-04-22T15:08:30.289Z,Edinburgh,10.86,few clouds
2026-04-22T16:53:46.920Z,Edinburgh,8.73,few clouds
2026-04-22T19:06:12.498Z,Edinburgh,7.13,clear sky
2026-04-22T20:48:47.792Z,Edinburgh,6.08,clear sky
2026-04-22T22:42:20.830Z,Edinburgh,4.13,clear sky
2026-04-23T02:07:07.363Z,Edinburgh,4.46,overcast clouds
2026-04-23T06:02:18.543Z,Edinburgh,4.15,broken clouds
